2	233	378	667	36	172	291	14	17	3735	598	1933	569	2730	32	281	1	1960	1238	1002	28	309	1	5	13	399
271	1	0	2	270	2	3	0	86	7	2	329	3	0	375	9	0	299	42	69	68	4	0	0	0	1
202	1	0	1	431	2	4	34	962	0	18	8	2	11	489	2	1	10	2	5	21	0	0	0	3	1
987	0	3	2	4941	0	0	13	792	2	7	6	52	2	1079	5	0	44	9	3	610	8	14	0	1	14
85	154	325	629	22	89	256	3	57	442	938	1019	513	3408	139	331	0	2285	1792	426	10	384	2	5	7	416
299	0	0	0	363	1	0	0	316	0	1	117	5	0	504	2	0	85	15	59	70	2	0	0	0	0
407	2	0	0	401	1	1	12	650	0	0	31	9	41	382	0	0	435	1	3	72	89	0	1	0	0
179	2	0	1	92	1	0	0	117	0	0	0	0	7	111	0	0	1	1	5	18	0	0	0	2	0
1259	196	278	579	552	91	766	2	381	66	787	642	302	1906	1215	84	0	256	3444	1249	846	375	1	1	3	153
337	9	0	8	263	0	0	0	2	0	2	4	5	690	334	29	0	15	1	42	130	0	0	0	0	1
2520	4	158	33	436	6	3	5	1598	0	3	204	19	13	1499	9	0	305	332	756	589	212	0	0	0	57
6827	13	3	55	812	52	38	10	1826	8	123	54	32	11	983	132	0	3	70	269	382	79	0	0	3	0
1183	215	2	3	662	17	0	1	826	3	3	8	14	21	913	249	0	4	13	25	422	3	0	0	0	6
1266	6	471	955	659	213	174	24	980	10	271	48	20	11	1347	19	2	18	457	1898	454	30	1	0	0	10
4	117	162	215	5	143	109	8	16	2385	493	656	727	2517	20	314	0	1753	465	176	23	647	2	1	6	93
729	0	0	0	662	0	0	4	141	0	1	798	1	0	1304	0	0	1548	9	166	266	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
1883	107	69	237	2069	37	345	5	2006	12	456	72	356	292	2154	55	0	52	120	696	429	72	2	0	8	3
423	16	40	11	749	15	0	4	862	1	206	174	388	1	384	483	0	5	16	2652	517	32	1	0	1	1
2987	7	0	4	1740	13	2	50	2621	1	15	17	20	24	1991	13	0	981	9	6	497	10	0	0	5	1
337	324	101	185	84	24	56	0	155	312	208	470	411	880	95	153	0	798	351	227	1	13	0	1	3	161
667	0	0	0	582	0	0	1	726	7	14	52	0	2	344	0	0	15	10	1	68	0	0	0	0	0
5	0	0	0	1	0	0	0	27	0	0	0	1	1	11	0	0	1	0	0	0	0	1	0	0	0
2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	3	0	0	0	0	0	0	0	3	2	1	0	0	2	2	0	0	0	2	0	0	0
164	3	0	2	178	0	3	1	679	124	4	6	0	9	224	0	0	20	0	0	48	1	0	0	0	0
