1	31	2	64	1	20	26	18	32	42	62	181	51	434	2	12	6	434	106	118	14	18	0	1	0	66
149	0	0	3	99	0	0	0	51	5	0	67	0	0	35	0	0	30	0	0	65	0	0	0	3	0
14	0	0	0	12	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0
186	0	0	0	55	0	0	80	130	4	0	4	1	0	50	0	0	89	0	0	21	3	0	0	2	0
15	2	3	59	0	11	27	4	5	14	26	128	53	189	2	12	2	222	122	149	11	15	0	5	0	41
28	0	0	0	11	1	0	0	21	2	1	40	0	0	8	0	2	5	0	14	0	0	0	0	0	1
49	0	0	1	20	0	0	0	24	52	0	5	0	2	18	0	0	6	0	0	35	0	0	0	1	1
122	3	0	1	120	1	0	0	40	7	23	0	5	9	22	21	3	5	1	22	16	0	0	0	6	0
95	7	2	46	21	10	5	1	3	28	62	108	192	256	27	4	0	227	63	120	0	4	0	4	0	27
89	1	0	4	137	0	0	0	15	0	15	4	5	1	48	0	0	1	1	15	10	0	0	0	1	4
97	0	0	0	60	0	0	0	22	0	0	16	0	0	54	0	0	30	8	5	55	0	0	0	1	0
222	41	3	20	160	0	6	0	187	12	15	120	36	10	80	6	1	0	8	31	106	7	0	0	0	15
120	20	0	0	134	0	0	0	194	6	0	0	1	8	36	0	0	4	5	24	17	0	0	0	0	7
368	3	4	137	71	1	0	0	71	34	8	0	2	0	40	0	0	1	0	65	31	2	0	5	0	1
1	3	0	8	0	1	9	3	4	12	21	45	15	149	0	0	0	309	64	8	0	2	0	0	0	12
38	0	0	0	27	0	0	0	20	1	0	26	0	0	5	0	0	39	0	3	11	0	0	0	0	0
4	0	0	0	22	0	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
247	33	1	91	310	0	31	0	297	24	12	17	22	13	86	0	0	54	22	94	53	10	0	0	2	14
85	0	0	3	29	2	0	361	49	4	25	4	8	9	30	2	0	0	0	46	20	0	0	0	8	0
279	8	0	1	53	0	2	22	113	5	0	11	18	3	93	0	0	39	2	1	49	2	0	0	4	0
5	1	3	12	1	12	8	3	1	18	38	113	38	16	0	1	7	125	116	29	0	4	0	6	0	16
59	0	0	11	67	0	0	0	37	6	1	14	0	1	8	0	1	13	0	0	6	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	12	11	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0	1	0	0	3	0	0	1	0	0	0	44	4	2	0	0	1	1	3	4	0	0	0	0	0	1
111	8	0	1	28	1	3	0	19	12	0	4	15	0	15	0	0	4	0	2	7	0	0	0	4	0
